0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:199	2:0	3:199	4:0	5:0	6:0	7:0	
0	1:251	2:49	3:55	4:28	5:4	6:3	7:5	
0	1:276	2:41	3:47	4:23	5:5	6:2	7:3	
0	1:137	2:107	3:74	4:39	5:24	6:5	7:10	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:321	2:13	3:32	4:20	5:8	6:1	7:1	
0	1:151	2:170	3:56	4:6	5:11	6:2	7:1	
0	1:243	2:26	3:104	4:13	5:8	6:1	7:1	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:159	2:158	3:40	4:16	5:10	6:9	7:3	
0	1:162	2:35	3:99	4:78	5:14	6:2	7:7	
0	1:151	2:131	3:60	4:22	5:22	6:8	7:3	
0	1:0	2:398	3:0	4:0	5:0	6:0	7:0	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:326	2:22	3:25	4:10	5:9	6:2	7:3	
0	1:192	2:28	3:109	4:38	5:21	6:4	7:5	
0	1:396	2:2	3:0	4:0	5:0	6:0	7:0	
0	1:257	2:65	3:42	4:22	5:8	6:1	7:2	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:1	2:0	3:398	4:0	5:0	6:0	7:0	
